2011	7041
2010	6956
2009	6872
2008	6789
2007	6705
2006	6623
2005	6541
2004	6461
2003	6381
2002	6301
2001	6222
2000	6143
1999	6064
1998	5984
1997	5905
1996	5824
1995	5744
1994	5663
1993	5581
1992	5498
1991	5414
1990	5327
1989	5237
1988	5145
1987	5052
1986	4960
1985	4870
1984	4784
1983	4699
1982	4617
1981	4536
1980	4458
1979	4380
1978	4304
1977	4229
1976	4154
1975	4079
1974	4003
1973	3927
1972	3851
1971	3775
1970	3700
1969	3625
1968	3551
1967	3478
1966	3407
1965	3339
1964	3273
1963	3211
1962	3150
1961	3091
1960	3034
1959	2979
1958	2925
1957	2873
1956	2822
1955	2773
1954	2724
1953	2677
1952	2630
